@relation DataEntrenamientoE-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute X.0.036X2077.00.0.036X2078.00.0.036X2076.00.0.036X2079.00.0.036X2075.00... {0,0.111163,0.11196,0.130668,0.147328,0.173832,0.195173,0.219993,0.226313,0.321828,0.340453,0.343018,0.372521,0.453286,0.490937,0.494014,0.515132,0.592295,0.621394,0.6291,0.629295,0.63287,0.635823,0.636773,0.647107,0.655861,0.670654,0.686629,0.723546,0.728656,0.734358,0.735062,0.746339,0.780665,0.802565,0.812916,0.823265,0.828127,0.912941,0.916372,0.989215,1}
@attribute X0.057X1194.00.0.057X1195.00.0.057X1193.00.0.057X1196.00.0.057X1197.00... {0,0.165072,0.182868,0.191067,0.203608,0.21069,0.291572,0.298894,0.303317,0.337513,0.371175,0.381266,0.393185,0.398921,0.412796,0.422262,0.434206,0.439086,0.442528,0.494934,0.524773,0.546081,0.551783,0.569632,0.570517,0.57676,0.590054,0.594702,0.600248,0.619692,0.667059,0.683181,0.710771,0.724697,0.735774,0.739822,0.74888,0.828017,0.841501,0.86389,0.926373,1}
@attribute X0.127X351.00.0.125X359.00.0.124X362.00.0.124X363.00.0.123X366.00... {0,0.056448,0.094815,0.102511,0.111895,0.137393,0.160021,0.166273,0.180738,0.188311,0.223137,0.227719,0.23191,0.2599,0.301149,0.304681,0.306194,0.308945,0.313477,0.316803,0.324566,0.377989,0.386179,0.403558,0.403806,0.409996,0.426745,0.435771,0.444473,0.464845,0.470999,0.471828,0.493246,0.522777,0.532885,0.559616,0.61996,0.667241,0.706929,0.790155,0.83344,1}
@attribute E {0,1}

@data
0.321828,0.21069,0.403806,0
0.655861,0.191067,0.227719,0
0.629295,0.165072,0.223137,0
0.636773,0.600248,0.667241,1
0.621394,0.337513,0.324566,0
0.802565,0.393185,0.377989,0
0.494014,0.735774,0.61996,1
0.746339,0,0.464845,0
0.515132,0.739822,0.444473,0
0.63287,0.422262,0.137393,1
0.723546,0.303317,0.160021,0
0.828127,0.291572,0.111895,0
0.670654,0.841501,0.056448,0
0.916372,0.524773,0.403558,1
0.6291,0.298894,0.426745,1
0.592295,0.439086,0.83344,1
0.635823,0.203608,0.301149,1
0.686629,0.569632,0.166273,0
0.130668,0.86389,0.532885,0
0.735062,0.182868,0.306194,0
0.147328,0.551783,0.094815,0
0.734358,0.57676,1,1
0.490937,0.398921,0.316803,0
0.812916,0.710771,0.522777,0
0.647107,0.724697,0.559616,0
0.453286,0.442528,0.23191,0
0.728656,0.828017,0,0
0.780665,0.926373,0.435771,0
0.823265,0.619692,0.308945,0
0.912941,1,0.493246,0
0.343018,0.74888,0.471828,0
0,0.667059,0.2599,0
0.173832,0.570517,0.313477,0
0.340453,0.434206,0.386179,0
0.372521,0.381266,0.409996,0
0.11196,0.412796,0.790155,0
0.219993,0.371175,0.706929,0
0.111163,0.546081,0.180738,0
0.195173,0.590054,0.188311,0
0.226313,0.594702,0.102511,0
1,0.494934,0.470999,0
0.989215,0.683181,0.304681,0
