@relation DataPruebaI-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute X.0.036X2077.00.0.036X2078.00.0.036X2076.00.0.036X2079.00.0.036X2075.00... {0,0.001094,0.074134,0.082062,0.112978,0.296535,0.34817,0.404735,0.414898,0.428612,0.544933,0.590816,0.621893,0.640173,0.69987,0.768345,0.770179,0.831005,0.998083,1}
@attribute X0.057X1194.00.0.057X1195.00.0.057X1193.00.0.057X1196.00.0.057X1197.00... {0,0.029322,0.132907,0.198101,0.212308,0.242129,0.256993,0.399364,0.406771,0.442356,0.465905,0.539547,0.561537,0.588873,0.68337,0.811048,0.852037,0.907555,0.954542,1}
@attribute X0.127X351.00.0.125X359.00.0.124X362.00.0.124X363.00.0.123X366.00... {0,0.001305,0.149487,0.228494,0.240994,0.285974,0.295176,0.31677,0.390185,0.425518,0.427164,0.482672,0.55179,0.55472,0.597323,0.692282,0.73911,0.840243,0.915137,1}
@attribute I {0,1}

@data
0.428612,0.561537,0.31677,0
0.404735,0.442356,0.295176,0
0.082062,0.212308,1,1
0.112978,0.954542,0.001305,0
0.34817,0.399364,0.228494,0
0.074134,0.588873,0.55472,0
0.001094,0.029322,0.425518,1
0,0.811048,0.915137,1
0.770179,0.132907,0.597323,0
0.414898,0.242129,0.692282,0
0.544933,0.539547,0.55179,0
0.296535,0.907555,0.285974,0
0.640173,1,0.73911,0
0.69987,0.68337,0,0
0.590816,0,0.240994,0
0.831005,0.406771,0.427164,0
1,0.198101,0.482672,0
0.621893,0.465905,0.149487,0
0.768345,0.256993,0.840243,1
0.998083,0.852037,0.390185,0
